,TIME,MINOR,MAJOR,SD
SVD6,0,0,0,0
SVD12,0,0,0,0
SVD24,1,0.0986219940556606,0.30545798432856,0.249256957579033
SVD48,0.87908673331532,0.0714671710348554,0.219670359362334,0.253309916238854
SVDTC,0.303690759254256,0.0362360172926236,0.110179681167252,0.0647986652256147
SVDTC,0.292107403404485,0.0267443934071872,0.138898000540395,0.0540308540124291
