,TIME,MINOR,MAJOR,SD
SVM21,0,0,0,0
SVM41,0,0,0,0
SVM83,0,0,0,0
SVM165,1,0.0234054202025732,0.340542020257323,0.311387900355872
TCSVM21,0.736928551875171,0.035176567205037,0.0502326854640022,0.0540651519299206
TCLR83,0.701888858472488,0.0339447029838489,0.035176567205037,0.0626882014782371
