,TIME,MINOR,MAJOR,SD
LgR14,0,0,0,0
LgR27,0,0,0,0
LgR54,1,0.0413433046423028,0.127557499647241,0.475800761958516
LgR108,0.769578100747848,0.0412022012134895,0.0695639904049668,0.346973331451954
TCLgR27,0.504585861436433,0.0323126851982503,0.032171581769437,0.0255397206152109
TCLgR54,0.460843798504304,0.0316071680541837,0.0313249611965571,0.0231409623253845
