,TIME,MINOR,MAJOR,SD
TR44,0,0,0,0
TR54,0,0,0,0
TR64,1,0.013595603124096,0.686144055539485,0.132774081573619
TRTC44,0.487127567254845,0.0442580271912063,0.126988718542089,0.13595603124096
TRTC64,0.440844663002603,0.0448365634943593,0.0957477581718253,0.129881400057854
