,TIME,MINOR,MAJOR,SD
BC21,0,0,0,0
BC41,0,0,0,0
BC83,1,0.00392063680646311,0.0684329333491743,0.050030948299976
BC165,0.505049304978021,0.0297017939883569,0.314660805512653,0.037595465296463
TCBC21,0,0,0,0
TCBC83,0.271890222169419,0.03362243079482,0.0630866104312701,0
